 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
2652,353,59,144.711,132.041,0,1.993,1.488,2.764,5.704,12.769,0.024
2653,353,60,145.165,132.211,0,2.137,1.479,2.726,5.552,12.196,0.019
2654,353,61,145.438,131.705,0,2.096,1.431,2.552,5.016,10.631,0.026
2655,353,62,144.881,132.026,0,1.664,1.423,2.548,5.073,10.979,0.066
2656,353,63,144.895,131.617,0,2.333,1.431,2.534,4.945,10.411,0.024
2657,353,64,144.842,131.522,0,2.361,1.408,2.460,4.726,9.783,0.059
2658,353,65,144.724,131.415,0,1.738,1.345,2.289,4.354,9.081,0.043
2659,353,66,144.788,131.369,0,2.184,1.399,2.448,4.756,10.057,0.017
2660,353,67,145.088,132.254,0,2.127,1.477,2.713,5.504,12.046,0.025
2661,354,41,293.645,191.770,0,1.405,1.256,2.020,3.596,6.981,0.042
2662,354,42,293.530,192.070,0,1.404,1.498,2.854,6.082,14.088,0.063
2663,354,43,292.525,191.876,0,1.552,1.286,2.116,3.894,7.898,0.062
2664,354,44,292.596,191.709,0,1.350,1.535,2.924,6.164,14.018,0.051
2665,354,45,291.761,191.534,0,1.322,1.315,2.175,3.959,7.773,0.082
2666,354,46,291.545,191.416,0,1.364,1.312,2.148,3.868,7.527,0.058
2667,354,47,291.479,190.926,0,1.080,1.390,2.457,4.818,10.242,0.116
2668,354,48,291.843,191.281,0,1.242,1.262,2.071,3.870,8.129,0.036
2669,354,49,291.918,192.781,0,1.272,1.465,2.657,5.289,11.290,0.092
2670,354,50,291.597,192.524,0,1.737,1.476,2.692,5.425,11.802,0.045
2671,354,51,291.613,192.254,0,1.692,1.415,2.513,4.950,10.577,0.064
2672,354,52,291.780,192.979,0,1.586,1.307,2.171,3.992,7.958,0.061
2673,354,53,291.815,192.592,0,1.568,1.404,2.457,4.709,9.669,0.068
2674,354,54,291.604,192.045,0,1.662,1.310,2.186,4.039,8.092,0.041
2675,354,55,292.048,192.546,0,1.386,1.407,2.466,4.762,9.910,0.085
2676,354,56,292.757,191.945,0,1.433,1.422,2.568,5.147,11.179,0.050
2677,354,57,293.426,191.740,0,1.192,1.282,2.078,3.761,7.499,0.077
2678,354,58,292.737,191.412,0,1.180,1.334,2.232,4.121,8.243,0.085
2679,354,59,292.216,192.653,0,1.563,1.354,2.300,4.297,8.644,0.054
2680,354,60,292.216,191.243,0,1.504,1.348,2.323,4.492,9.559,0.066
2681,354,61,291.779,191.171,0,1.542,1.383,2.385,4.536,9.326,0.041
2682,354,62,291.361,191.777,0,1.577,1.346,2.283,4.294,8.797,0.034
2683,354,63,292.166,192.350,0,1.511,1.402,2.467,4.800,10.112,0.041
2684,354,64,291.684,191.857,0,1.370,1.418,2.535,5.036,10.874,0.045
2685,354,65,291.479,191.832,0,1.314,1.370,2.371,4.607,9.852,0.100
2686,354,66,290.849,191.773,0,1.294,1.424,2.579,5.238,11.657,0.047
2687,354,67,289.939,191.085,0,1.278,1.450,2.672,5.516,12.424,0.090
2688,354,68,289.639,191.772,0,1.095,1.287,2.085,3.721,7.190,0.049
2689,354,69,289.469,191.585,0,1.450,1.376,2.408,4.727,10.188,0.084
2690,354,70,290.212,191.727,0,1.360,1.300,2.156,3.975,7.997,0.048
2691,354,71,289.506,191.320,0,1.494,1.372,2.391,4.670,10.013,0.050
2692,354,72,289.649,191.436,0,1.562,1.284,2.092,3.768,7.376,0.028
2693,354,73,289.927,191.326,0,1.598,1.307,2.180,4.063,8.312,0.057
2694,354,74,289.451,191.304,0,1.480,1.255,1.988,3.470,6.569,0.041
2695,354,75,289.871,191.506,0,1.480,1.313,2.199,4.104,8.390,0.059
2696,354,76,289.575,191.308,0,1.741,1.279,2.078,3.733,7.292,0.030
2697,354,77,289.883,191.234,0,1.277,1.367,2.389,4.682,10.063,0.070
2698,354,78,289.549,191.620,0,1.064,1.325,2.200,4.030,7.988,0.107
2699,355,41,222.035,263.132,0,1.140,1.528,2.962,6.399,14.963,0.044
2700,355,42,221.525,262.919,0,0.921,1.260,2.061,3.753,7.475,0.060
2701,356,41,324.208,273.739,0,1.141,1.202,1.845,3.129,5.803,0.021
2702,356,42,325.101,273.542,0,1.185,1.412,2.519,5.012,10.870,0.122
2703,356,43,324.138,273.081,0,1.371,1.508,2.896,6.204,14.407,0.054
2704,356,44,324.343,273.223,0,1.392,1.523,2.943,6.355,14.889,0.043
2705,356,45,324.961,273.700,0,1.340,1.377,2.393,4.638,9.819,0.113
2706,357,42,121.576,131.089,0,1.014,1.394,2.452,4.777,10.074,0.081
2707,357,43,122.351,130.211,0,1.339,1.403,2.513,5.062,11.218,0.078
2708,358,42,146.554,151.809,0,1.132,1.388,2.486,5.003,11.054,0.126
2709,358,43,147.362,151.667,0,1.404,1.221,1.885,3.183,5.790,0.024
2710,358,44,147.291,151.135,0,1.648,1.304,2.165,4.030,8.279,0.072
2711,359,42,192.036,153.381,0,1.565,1.395,2.445,4.717,9.801,0.079
2712,359,43,192.194,154.414,0,1.470,1.323,2.208,4.086,8.221,0.068
2713,359,44,191.849,154.017,0,1.291,1.475,2.743,5.629,12.431,0.060
2714,359,45,192.392,153.491,0,1.289,1.445,2.629,5.357,11.931,0.079
2715,359,46,191.465,153.916,0,1.344,1.485,2.743,5.585,12.227,0.074
2716,360,42,72.882,161.762,0,1.106,1.339,2.248,4.164,8.357,0.082
2717,360,43,73.341,160.659,0,0.796,1.172,1.777,2.964,5.378,0.020
